id,value
Finance|Business Services|Helix Acquisition Corp. Class A Ordinary Shares(HLXA)(0.188B),HLXA
Finance|Business Services|Hennessy Capital Investment Corp. V Units(HCICU)(0.000B),HCICU
Finance|Business Services|HighCape Capital Acquisition Corp. Class A Common Stock(CAPA)(0.331B),CAPA
Finance|Business Services|HighCape Capital Acquisition Corp. Unit(CAPAU)(0.000B),CAPAU
Finance|Business Services|HighCape Capital Acquisition Corp. Warrant(CAPAW)(0.000B),CAPAW
Finance|Business Services|Highland Transcend Partners I Corp. Class A Ordinary Shares(HTPA)(0.400B),HTPA
Finance|Business Services|Holicity Inc. Class A Common Stock(HOL)(0.797B),HOL
Finance|Business Services|Holicity Inc. Unit(HOLUU)(0.000B),HOLUU
Finance|Business Services|Holicity Inc. Warrant(HOLUW)(0.000B),HOLUW
Finance|Business Services|Horizon Acquisition Corporation Class A Ordinary Shares(HZAC)(0.739B),HZAC
Finance|Business Services|Horizon Acquisition Corporation II Class A Ordinary Shares(HZON)(0.717B),HZON
Finance|Business Services|Hudson Executive Investment Corp. II Unit(HCIIU)(0.000B),HCIIU
Finance|Business Services|HumanCo Acquisition Corp. Class A Common Stock(HMCO)(0.409B),HMCO
Finance|Business Services|HumanCo Acquisition Corp. Unit(HMCOU)(0.000B),HMCOU
Finance|Business Services|HumanCo Acquisition Corp. Warrant(HMCOW)(0.000B),HMCOW
Finance|Business Services|IG Acquisition Corp. Class A Common Stock(IGAC)(0.414B),IGAC
